GTA06,Population,Worked in 2010_Full-time,Worked in 2010_Part-time,Worked at home,Avg Pop Density,Avg Median Age,Family Size 2,Family Size 3,Family Size 4,Family Size 5+,Avg Median income,Avg Average income,15+_No certificate/diploma/degree,15+_HS diploma/equivalent,15+_Post HS diploma,15+_Apprentice/trades certificate,15+_College certificate/diploma,15+_University <bachelor's,15+_University bachelor's+,15+_University_Bachelor's degree,15+_University_Above bachelor's,In labour force,In labour force_Employed,In labour force_Unemployed,Not in labour force,Avg Participation rate,Avg Employment rate,Avg Unemployment rate,Mode to work_Drove car/truck/van,Mode to work_Rode in car/truck/van,Mode to work_Public transit,Mode to work_Walked,Mode to work_Bicycle,Mode to work_Other methods,Avg Median commuting duration
5127,4354.279278,1737.512818,511.475828,50.404089,4237.872357,42.999318,677.918497,306.485971,186.124573,50.410128,28988.30579,34520.08706,909.285892,1354.299006,1507.090708,436.819806,723.12854,40.455699,301.688509,231.129883,75.51597,2334.419547,2143.892404,190.488679,1436.254469,61.986551,56.898102,8.178949,1581.540643,115.777693,235.753191,120.280024,0.002007,0.155492,20.599937
5132,3947.3522,1808.511723,419.299003,63.713695,3850.660854,40.081713,546.69719,300.015508,221.186972,83.704581,36030.58075,40589.59436,657.146148,1002.490134,1649.1848,314.357822,787.647501,88.925175,448.60423,295.51334,153.093124,2316.188105,2144.278259,176.790493,987.750431,70.070736,64.889117,7.5833,1525.971993,167.118593,269.971087,68.379928,0,0.004812,20.396576
5141,2142.621535,954.601615,229.652242,55.449744,2236.935531,40.998944,316.188394,123.713191,112.53271,50.856503,33203.22107,38197.53116,327.669532,452.077451,942.388043,222.736464,359.614475,45.938052,304.059551,197.71107,111.280578,1225.331286,1148.382011,81.969025,491.78399,71.355538,66.947286,6.708572,772.06227,72.21542,162.590881,50.66248,0,0,20.204619
5122,2276.826734,920.677236,290.01791,30.053628,2739.870368,45.980054,390.785384,150.269089,120.17784,40.080072,34928.40166,37198.89886,470.035617,639.87928,955.670015,140.428583,569.743603,35.096021,210.388848,140.303267,65.110366,1275.702877,1210.566131,65.144974,789.873785,61.916959,58.712984,5.105779,845.266591,164.809729,95.40669,59.980549,0.018438,0,20.798676
5154,2730.781452,914.405212,229.848822,24.984135,5691.61238,38.999621,394.821301,184.918788,129.94064,49.98343,21088.48973,27873.40489,844.417442,679.547238,774.497923,234.841877,409.732327,29.981414,104.938406,74.955316,34.979509,1284.15705,1124.265741,149.898615,1014.305354,55.900509,48.900563,11.699867,744.517189,89.941277,179.880202,49.966484,0,24.982093,20.69999
5242,206.269834,94.864763,22.700425,8.391198,105.3614,34.003047,26.236571,13.692409,15.723987,6.44877,40866.84162,50129.83878,23.848738,35.949731,98.309587,16.694076,42.485999,6.71297,32.328214,19.962231,12.365981,121.539984,116.063605,5.388051,36.568073,76.799803,73.399767,4.400071,99.104525,5.829682,1.41327,0.794955,0,0.52997,29.999885
5008,2773.152626,740.231609,239.23203,43.339731,171.500001,48.420759,521.811049,145.371505,149.343711,65.642474,39173.94237,42645.99844,334.576855,549.538739,1125.081037,178.556754,535.670161,76.276678,332.843888,206.293909,128.283514,1024.536155,955.193614,69.342542,986.39403,50.900317,47.500294,6.799998,847.711801,38.138521,15.602091,0.000081,0,6.934218,20.600002
5016,680.439709,0.126972,0.041036,0.007434,60.005753,43.002387,89.856611,44.472725,45.344932,23.542442,39174,42646,0.05739,0.094263,0.192986,0.030628,0.091884,0.013084,0.057093,0.035386,0.022005,0.175739,0.163845,0.011894,0.169197,50.900002,47.5,6.8,0.145409,0.006542,0.002676,0,0,0.001189,20.6
5033,232.003702,0.035018,0.011317,0.00205,60.000537,43.001931,30.635899,15.163886,15.46127,8.027404,39174,42646,0.015828,0.025997,0.053224,0.008447,0.025341,0.003608,0.015746,0.009759,0.006069,0.048468,0.045187,0.00328,0.046663,50.900002,47.5,6.8,0.040103,0.001804,0.000738,0,0,0.000328,20.6
5025,136.847547,0,0,0,59.978475,43,18.066262,8.945431,9.120831,4.735816,,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,0,0,0,
5034,124.41719,15.761862,4.679481,0.90761,88.476043,40.284091,14.66191,8.287659,9.00264,4.463065,31924.57915,37804.63077,5.767493,9.119465,15.531321,2.925035,7.528469,1.304266,3.759263,2.568815,1.150492,21.776849,20.079072,1.65782,8.615761,71.58486,66.028485,7.477585,14.537508,1.449563,2.011615,0.718731,0,0.302696,20.735757
5040,137.54245,3.646769,0.766854,0.241015,64.02684,42.432681,17.731143,9.018327,9.302886,4.830915,35162.96104,43341.64413,1.279351,1.565686,3.840417,0.614853,1.744208,0.321924,1.149402,0.725855,0.413637,4.684585,4.392875,0.281726,2.000942,70.161366,65.769075,6.003969,3.351269,0.26083,0.329749,0.000167,0,0.139867,20.798176
