"COL0","COL1","COL2","COL3","COL4","COL5","COL6","COL7","COL8","COL9","COL10","COL11","COL12","COL13","COL14","COL15","COL16","COL17","COL18","COL19","COL20","COL21","COL22","COL23","COL24"

5370045.00,0045.00,20.70,3.20,4.80,29.20,2.10,8.90,95.00,75.00,20.00,560.00,490.00,70.00,650.00,2980.00,2035.00,720.00,245.00,70.00,80.00,235.00,95.00,125.00,110.00
5370046.00,0046.00,22.90,17.50,17.90,27.30,6.50,7.60,130.00,105.00,30.00,635.00,515.00,120.00,765.00,3100.00,1990.00,875.00,280.00,40.00,80.00,300.00,180.00,120.00,180.00
5370047.00,0047.00,22.80,18.80,19.40,21.80,26.60,4.40,185.00,155.00,30.00,545.00,405.00,140.00,725.00,3100.00,2175.00,880.00,435.00,140.00,120.00,140.00,50.00,85.00,55.00
5370048.00,0048.00,38.30,42.30,46.70,39.00,29.00,11.40,90.00,75.00,20.00,235.00,155.00,80.00,320.00,1420.00,795.00,560.00,85.00,70.00,125.00,145.00,135.00,65.00,85.00
5370049.00,0049.00,42.40,40.90,48.30,40.10,53.60,11.40,100.00,90.00,10.00,325.00,200.00,125.00,430.00,2075.00,1260.00,700.00,135.00,80.00,150.00,240.00,100.00,50.00,190.00
5370050.00,0050.00,37.50,45.10,49.00,36.80,30.20,14.20,290.00,235.00,55.00,580.00,370.00,205.00,875.00,3670.00,2645.00,985.00,315.00,155.00,165.00,165.00,190.00,60.00,100.00
5370051.00,0051.00,38.30,42.60,40.30,36.20,41.20,12.10,350.00,305.00,45.00,620.00,410.00,210.00,970.00,4440.00,3220.00,1195.00,265.00,195.00,245.00,335.00,160.00,95.00,235.00
5370052.00,0052.00,23.60,28.10,34.80,23.80,15.10,12.10,285.00,225.00,60.00,635.00,410.00,225.00,920.00,3385.00,2790.00,565.00,265.00,120.00,65.00,85.00,35.00,25.00,65.00
5370053.00,0053.00,18.80,23.70,28.30,17.90,13.60,9.90,235.00,185.00,45.00,625.00,410.00,220.00,860.00,3085.00,2655.00,425.00,210.00,65.00,65.00,90.00,0.00,20.00,70.00
5370054.00,0054.00,16.30,18.90,16.10,16.30,10.80,8.20,210.00,170.00,45.00,515.00,335.00,180.00,725.00,2540.00,2200.00,345.00,165.00,45.00,35.00,70.00,35.00,35.00,35.00
5370055.00,0055.00,12.50,16.40,16.70,12.50,7.20,6.40,220.00,185.00,35.00,585.00,405.00,185.00,810.00,2995.00,2590.00,395.00,185.00,55.00,65.00,60.00,25.00,25.00,35.00
