TRACT,CTNAME,LICO_AT_ALL,Unemployment_Rate,LONE_PARENT,LONE_PARENT_F,LONE_PARENT_M,TOTAL_FAMILIES,POPULATION,COL16,IMMIGRANTS,IMM_1981,IMM_81_TO_90,IMM_91_00,IMM_01_TO_10,IMM_11_TO16
5370216.00,216,3.1,4,105,85,30,1210,4145,3425,700,415,90,60,105,40
5370217.01,217.01,8.5,5.7,275,225,60,1375,4980,3600,1350,620,95,185,250,195
5370217.02,217.02,3.8,5.1,155,125,30,1090,3395,2710,650,385,50,95,65,55
5370218.00,218,6.5,6.5,385,300,80,2100,6895,5285,1580,655,170,290,320,150
5370219.00,219,3.6,4.6,125,100,25,1420,4550,3600,895,495,110,95,165,30
5370220.00,220,7.5,5.5,285,225,60,1735,5585,4160,1395,700,160,245,170,120
5370221.00,221,4.8,4.5,130,95,35,970,3255,2590,640,305,125,80,80,45
5370222.01,222.01,,,,,,,,,,,,,,
5370222.02,222.02,3.5,5.6,170,145,25,1300,4260,3260,985,445,95,130,260,65
5370222.03,222.03,5.5,6.3,165,130,35,1270,4405,3300,1105,290,200,205,330,75
5370223.01,223.01,4.9,4.5,120,100,20,815,2575,2150,420,255,70,55,40,10
5370223.02,223.02,3.8,6.1,205,155,55,1365,4635,3580,1045,415,140,160,255,65
5370223.05,223.05,4.9,6.1,130,100,30,915,3185,2485,680,285,85,120,150,40
5370223.06,223.06,1.5,5.2,100,75,25,1190,3910,3185,720,395,75,145,95,0
5370223.07,223.07,4.2,4.2,180,150,30,1305,4270,3395,860,485,125,80,140,25
5370223.09,223.09,4.2,6.1,240,195,45,2360,8765,6300,2380,530,295,625,655,270
5370223.10,223.1,4.1,3.4,180,140,40,1275,4470,3465,985,310,105,200,280,90
5370223.12,223.12,5.4,4.3,370,295,80,2255,7755,5270,2435,730,295,440,640,325
5370223.13,223.13,6.2,6.8,230,190,35,1345,4640,3425,1165,445,125,200,280,115
5370223.14,223.14,2.6,6.5,120,95,25,1320,4140,3260,850,420,105,85,185,55
5370223.15,223.15,4.2,5.6,140,100,35,725,2325,1770,550,145,35,105,180,85
5370223.16,223.16,4,4.9,115,95,20,590,2290,1805,475,165,50,125,105,30
5370224.01,224.01,5.3,6,290,235,60,2940,10630,6185,4360,435,495,945,1865,625
5370224.02,224.02,3.3,5.3,105,75,30,1195,3740,3015,695,375,125,105,75,20
5370300.00,300,4.1,3.8,50,35,15,590,2025,1700,330,235,35,20,40,0
5370301.00,301,3.6,4.6,325,260,60,2355,7625,6335,1265,575,215,210,225,45
5370302.00,302,8.8,6.3,290,220,75,1560,5325,4510,805,525,85,80,85,30
5370303.01,303.01,3.1,2.5,120,105,20,1215,3820,3215,575,400,55,50,40,30
5370303.02,303.02,3.5,4.8,225,180,45,2470,8030,6735,1255,875,95,155,90,35
